level0,level1,level2,level3,level4,level5,level6,level7,Comment/help
Photo Shooting,Flash control,Radio AWL,,,,,,The remote flash units are controlled by radio signals from a WR-R10 attached to the camera (Radio AWL)
Photo Shooting,Flash control,Remote flash photography disabled.,,,,,,
Photo Shooting,Flash control,"Choose a separate flash control mode for each group of remote flash units (Group Flash, Group Flash).",,,,,,
Photo Shooting,Flash control,"Choose the balance between groups A and B and adjust output for group C manually (Quick Wireless Control, Quick Wireless Control (SB-5000 Only)).",,,,,,
Photo Shooting,Flash control,"The flash units fire repeatedly while the shutter is open, producing a multiple-exposure effect (Remote Repeating, Remote Repeating (SB-5000 Only)).",,,,,,
Photo Shooting,Flash mode,,,,,,,"Choose a flash mode for optional flash units. For more information, see “On-Camera Flash Photography” under “Flash Modes” (Flash Modes)"
Photo Shooting,Flash compensation,,,,,,,"Adjust flash output to control the brightness of the main subject relative to the background. Flash output can be increased to make the main subject appear brighter, reduced to prevent glare, or otherwise fine-tuned to produce the desired result (Flash Compensation). C The Photo Shooting Menu: Shooting Options."
Photo Shooting,Focus mode,,,,,,,"Focus mode controls how the camera focuses. For more information, see “Focus” under “Focus Mode” in “Basic Settings” (Focus Mode)"
Photo Shooting,AF-area mode,,,,,,,"Choose how the camera selects the focus point for autofocus. For more information, see “Focus” under “AF-Area Mode” in “Basic Settings” (AF-Area Mode)"
Photo Shooting,Vibration reduction,,,,,,,"Choose whether to enable vibration reduction. For more information, see “The i Menu” under “Vibration Reduction” (Vibration Reduction)"
Photo Shooting,Auto bracketing,,,,,,,"Vary exposure, flash level, Active D-Lighting (ADL), or white balance slightly with each shot, “bracketing” the current value. Bracketing can be used in situations in which getting the right settings is difficult and there is not time to check results and adjust settings with each shot, or to experiment with different settings for the same subject. [Auto bracketing set]."
Photo Shooting,Auto bracketing,AE & flash bracketing,,,,,,"Vary exposure, flash level, Active D-Lighting (ADL), or white balance slightly with each shot, “bracketing” the current value. Bracketing can be used in situations in which getting the right settings is difficult and there is not time to check results and adjust settings with each shot, or to experiment with different settings for the same subject. [Auto bracketing set]."
Photo Shooting,Auto bracketing,Choose the number of shots in the bracketing sequence.,,,,,,
Photo Shooting,Auto bracketing,ADL bracketing,,,,,,Choose the amount the selected settings vary with each shot when an option other than is selected for [Auto bracketing set]
Photo Shooting,Auto bracketing,ADL bracketing,,,,,,Choose how Active D-Lighting varies with each shot when is selected for [Auto bracketing set]
Photo Shooting,Multiple exposure,,,,,,,Record two to ten NEF (RAW) exposures as a single photograph. [Multiple exposure mode].
Photo Shooting,Multiple exposure,On (series),,,,,,": Take a series of multiple exposures. To end multiple exposure photography, select [Multiple exposure mode] again and choose [Off]. [On (single photo)]: Create one multiple exposure. [Off]: End multiple exposure photography"
Photo Shooting,Multiple exposure,Choose the number of exposures that will be combined to form a single photograph.,,,,,,
Photo Shooting,Multiple exposure,Add,,,,,,": The exposures are overlaid without modification; gain is not adjusted. [Average]: Gain is adjusted before the exposures are overlaid. The gain for each exposure is equal to 1 divided by the total number of exposures taken. For example, in a photo made by combining two exposures, the gain for each exposure will be set to 1/2, while in a photo combining three exposures, gain will be set to 1/3. [Lighten]: The camera compares the pixels in each exposure and uses only the brightest. [Darken]: The camera compares the pixels in each exposure and uses only the darkest"
Photo Shooting,Multiple exposure,On,,,,,,: Save both the multiple exposure and the shots that make it up; the pictures are saved in NEF (RAW) format. [Off]: Discard the individual shots and save only the multiple exposure
Photo Shooting,Multiple exposure,On,,,,,,: Earlier exposures are superimposed on the view through the lens. The earlier exposures aid composition of the next shot. [Off]: Earlier exposures are not displayed while shooting is in progress
Photo Shooting,Multiple exposure,Choose the first exposure from the NEF (RAW) images on the memory card.,,,,,,
Photo Shooting,Multiple exposure,View a preview created from the exposures recorded to the current point.,,,,,,
Photo Shooting,Multiple exposure,Retake the most recent exposure.,,,,,,
Photo Shooting,Multiple exposure,Create a multiple exposure from the exposures taken to current point.,,,,,,
Photo Shooting,Multiple exposure,On,,,,,,"Exit without recording a multiple exposure. If is selected for [Save individual images (NEF)], the individual exposures will be saved separately"
Photo Shooting,HDR (high dynamic range),,,,,,,"Used with high contrast subjects, High Dynamic Range (HDR) preserves details in highlights and shadows by combining two shots taken at different exposures. Use with high-contrast scenes and other subjects to preserve a wide range of detail"
Photo Shooting,HDR (high dynamic range),On (series),,,,,,"[On (series)]: Take a series of HDR photographs. To end HDR photography, select [HDR mode] again and choose [Off]. [On (single photo)]: Take a single HDR photograph."
Photo Shooting,HDR (high dynamic range),Auto,,,,,,"[On (series)]: Take a series of HDR photographs. To end HDR photography, select [HDR mode] again and choose [Off]. [On (single photo)]: Take a single HDR photograph."
Photo Shooting,HDR (high dynamic range),Choose how much the boundaries between the two images are smoothed.,,,,,,
Photo Shooting,HDR (high dynamic range),On,,,,,,"Choose to save each of the individual shots used to create the HDR image; the shots are saved in NEF (RAW) format. The shots are saved at an image size of [Large], regardless of the option selected for [Image size] > [NEF (RAW)] in the photo shooting menu"
Photo Shooting,HDR (high dynamic range),On (series),,,,,,Take a series of HDR photographs. HDR shooting will continue until you select [Off] for [HDR mode]
Photo Shooting,HDR (high dynamic range),Normal shooting will resume after you have taken a single HDR photograph.,,,,,,
Photo Shooting,HDR (high dynamic range),Proceed without taking additional HDR photographs.,,,,,,
Photo Shooting,Interval timer shooting,,,,,,,"Take photographs at the selected interval until the specified number of shots has been recorded. When using the interval timer, select a release mode other than E"
Photo Shooting,Interval timer shooting,Now,,,,,,"Take photographs at the selected interval until the specified number of shots has been recorded. When using the interval timer, select a release mode other than E. Start interval timer shooting. Shooting will begin either after 3 s ([Now] selected for [Choose start day/time]) or at a selected date and time ([Choose day/time]). Shooting will continue at the selected interval until all shots have been taken."
Photo Shooting,Interval timer shooting,Now,,,,,,"Take photographs at the selected interval until the specified number of shots has been recorded. When using the interval timer, select a release mode other than E. Start interval timer shooting. Shooting will begin either after 3 s ([Now] selected for [Choose start day/time]) or at a selected date and time ([Choose day/time]). Shooting will continue at the selected interval until all shots have been taken."
Photo Shooting,Interval timer shooting,"Specify the interval between shots in hours, minutes, and seconds.",,,,,,
Photo Shooting,Interval timer shooting,Choose the number of intervals and the number of shots per interval.,,,,,,
Photo Shooting,Interval timer shooting,On,,,,,,"Take photographs at the selected interval until the specified number of shots has been recorded. When using the interval timer, select a release mode other than E. Start interval timer shooting. Shooting will begin either after 3 s ([Now] selected for [Choose start day/time]) or at a selected date and time ([Choose day/time]). Shooting will continue at the selected interval until all shots have been taken."
Photo Shooting,Interval timer shooting,On,,,,,,"Select to silence the shutter and eliminate the vibrations it produces during shooting. Selecting does not completely silence the camera. Camera sounds may still be audible, for example during autofocus or aperture adjustment, in the latter case most noticeably at apertures smaller (i.e., at f-numbers higher) than f/5.6"
Photo Shooting,Interval timer shooting,On,,,,,,": Enable interval priority to ensure that frames shot in modes P and A are taken at the chosen interval. Flash photography is disabled. The number of shots per interval is set to 1, even if the number of shots chosen for [Intervals×shots/interval] is 2 or more. If AF-S is selected for focus mode, select [Release] for Custom Setting a2 [AF-S priority selection]. If AF-C is selected, select [Release] for Custom Setting a1 [AF-C priority selection]. If is selected for [ISO sensitivity settings] > [Auto ISO sensitivity control] and the time chosen for [Minimum shutter speed] is longer than the interval, the time selected for the interval will take priority over the selected shutter speed. [Off]: Disable interval priority to ensure that photos are correctly exposed"
Photo Shooting,Interval timer shooting,On,,,,,,"Take photographs at the selected interval until the specified number of shots has been recorded. When using the interval timer, select a release mode other than E. Start interval timer shooting. Shooting will begin either after 3 s ([Now] selected for [Choose start day/time]) or at a selected date and time ([Choose day/time]). Shooting will continue at the selected interval until all shots have been taken."
Photo Shooting,Interval timer shooting,AE bracketing,,,,,,"Combine interval-timer photography with other options. : Perform exposure bracketing during interval-timer photography. [Time-lapse movie]: Use the photos taken during interval-timer photography to create a time-lapse movie with an aspect ratio of 16:9. The camera saves both the photos and the time-lapse movie. Selecting [5:4 (30×24)] (Z 7II only) or [1:1 (24×24)] for [Choose image area] in the photo shooting menu disables the shutter release. Movies created using [Time-lapse movie] are recorded in the [sRGB] color space, regardless of the option selected for [Color space] in the photo shooting menu. [Off]: Do not perform additional operations during interval-timer photography"
Photo Shooting,Interval timer shooting,New folder,,,,,,"Take photographs at the selected interval until the specified number of shots has been recorded. When using the interval timer, select a release mode other than E. Start interval timer shooting. Shooting will begin either after 3 s ([Now] selected for [Choose start day/time]) or at a selected date and time ([Choose day/time]). Shooting will continue at the selected interval until all shots have been taken."
Photo Shooting,Time-lapse movie,,,,,,,The camera automatically takes photos at selected intervals to create a time-lapse movie. Start time-lapse recording. Shooting starts after about 3 s and continues at the interval selected for [Interval] for the time selected for [Shooting time].
Photo Shooting,Time-lapse movie,Interval,,,,,,Start time-lapse recording. Shooting starts after about 3 s and continues at the interval selected for for the time selected for [Shooting time]
Photo Shooting,Time-lapse movie,"Choose the interval between shots, in minutes and seconds.",,,,,,
Photo Shooting,Time-lapse movie,"Choose how long the camera will continue to take pictures, in hours and minutes.",,,,,,
Photo Shooting,Time-lapse movie,On,,,,,,Selecting smooths abrupt changes in exposure. Large changes in subject brightness during shooting may result in apparent variations in exposure. This can be addressed by shortening the interval between shots. Exposure smoothing will not take effect in mode M if [Off] is selected for [ISO sensitivity settings] > [Auto ISO sensitivity control] in the photo shooting menu
Photo Shooting,Time-lapse movie,On,,,,,,"Select to silence the shutter and eliminate the vibrations it produces during shooting. Selecting does not completely silence the camera. Camera sounds may still be audible, for example during autofocus or aperture adjustment, in the latter case most noticeably at apertures smaller (i.e., at f-numbers higher) than f/5.6"
Photo Shooting,Time-lapse movie,FX,,,,,,Choose the image area for time-lapse movies from and [DX]
Photo Shooting,Time-lapse movie,Choose the frame size and rate for the final movie.,,,,,,
Photo Shooting,Time-lapse movie,On,,,,,,": Enable interval priority to ensure that frames shot in modes P and A are taken at the chosen interval. Select [Release] for Custom Setting a2 [AF-S priority selection] when AF-S is selected for focus mode and for Custom Setting a1 [AF-C priority selection] when AF-C is selected. If is selected for [ISO sensitivity settings] > [Auto ISO sensitivity control] and the time chosen for [Minimum shutter speed] is longer than the interval, the time selected for the interval will take priority over the selected shutter speed. [Off]: Disable interval priority to ensure that photos are correctly exposed"
Photo Shooting,Time-lapse movie,On,,,,,,The camera automatically takes photos at selected intervals to create a time-lapse movie. Start time-lapse recording. Shooting starts after about 3 s and continues at the interval selected for [Interval] for the time selected for [Shooting time].
Photo Shooting,Time-lapse movie,Choose the slot used to record time-lapse movies when two memory cards are inserted.,,,,,,
Photo Shooting,Focus shift shooting,,,,,,,Focus shift automatically varies focus over a series of shots. Use it to take photos that will later be combined using focus stacking to create a single image with increased depth of field.
Photo Shooting,Focus shift shooting,"Start shooting. The camera will take the selected number of shots, changing the focus distance by the selected amount with each shot.",,,,,,
Photo Shooting,Focus shift shooting,Choose the number of shots (maximum 300).,,,,,,
Photo Shooting,Focus shift shooting,Focus shift varies the focus distance over a series of photographs. Choose the amount the focus distance changes with each shot.,,,,,,
Photo Shooting,Focus shift shooting,00,,,,,,"Focus shift automatically varies focus over a series of shots. Use it to take photos that will later be combined using focus stacking to create a single image with increased depth of field. Before using focus shift, choose a focus mode of AF-S or AF-C and a release mode other than E. Start shooting. The camera will take the selected number of shots, changing the focus distance by the selected amount with each shot."
Photo Shooting,Focus shift shooting,On,,,,,,"Focus shift automatically varies focus over a series of shots. Use it to take photos that will later be combined using focus stacking to create a single image with increased depth of field. Before using focus shift, choose a focus mode of AF-S or AF-C and a release mode other than E. Start shooting. The camera will take the selected number of shots, changing the focus distance by the selected amount with each shot."
Photo Shooting,Focus shift shooting,On,,,,,,"Select to eliminate shutter sounds during shooting. Selecting does not completely silence the camera. Camera sounds may still be audible, for example during autofocus or aperture adjustment, in the latter case most noticeably at apertures smaller (i.e., at f-numbers higher) than f/5.6"
Photo Shooting,Focus shift shooting,New folder,,,,,,"Focus shift automatically varies focus over a series of shots. Use it to take photos that will later be combined using focus stacking to create a single image with increased depth of field. Before using focus shift, choose a focus mode of AF-S or AF-C and a release mode other than E. Start shooting. The camera will take the selected number of shots, changing the focus distance by the selected amount with each shot."
Photo Shooting,Silent photography,,,,,,,"Eliminate shutter sounds during shooting (Silent Photography). Eliminate vibrations produced by the shutter. Use for landscapes, still lifes, and other static subjects. Use of a tripod is recommended."
Photo Shooting,Silent photography,On,,,,,,"Eliminate vibrations produced by the shutter. Use for landscapes, still lifes, and other static subjects. Use of a tripod is recommended. Selecting for [Silent photography] does not completely silence the camera. Camera sounds may still be audible, for example during autofocus or aperture adjustment, in the latter case most noticeably at apertures smaller (i.e., at f-numbers higher) than f/5.6. Flash photography is disabled. Long-exposure noise reduction is disabled. There is no limit to the number of photos that can be taken in a single burst, regardless of the option chosen for Custom Setting d2 [Max. continuous release]. The electronic shutter is used, regardless of the option selected for Custom Setting d5 [Shutter type]. Regardless of the settings selected for [Beep options] in the setup menu, beeps will not sound when the camera focuses or while the self-timer is in operation. Enabling silent photography changes the frame advance rates for continuous release modes (Frame Advance Rate)"
Photo Shooting,Silent photography,Disable silent photography.,,,,,,
Movie Shooting,Reset movie shooting menu,,,,,,,Highlight [Yes] and press J to restore movie shooting menu options to their default values (Movie Shooting Menu Defaults)
Movie Shooting,File naming,,,,,,,Choose the three-letter prefix used in naming the image files in which movies are stored; the default prefix is “DSC” (File Naming)
Movie Shooting,Destination,,,,,,,Video Tutorial: Dual Card Slots Choose the slot to which movies are recorded when two memory cards are inserted.
Movie Shooting,Choose image area,,,,,,,
Movie Shooting,Frame size/frame rate,,,,,,,"Choose the movie frame size (in pixels) and frame rate. For more information, see “The i Menu” under “Frame Size and Rate/Image Quality” (Frame Size and Rate/Image Quality)"
